"Name","Location","Members","Applications","Filters","Groups"
"3RD-PARTY-EMAIL","Mobile_User_Device_Group","78","1und1-mail;51.com;51.com-mail;aim-mail;atmail;bebo-mail;blackberry;boomerang;callpilot;chinaren-mail;comcast-webmail;cox-webmail;daum-mail;evercontact;facebook-mail;fastmail;front;gmail-base;gmail-downloading;gmail-enterprise;gmail-posting;gmail-uploading;gmx-mail;google-plus-email;groupwise;hinet-webmail;horde;hotmail;hushmail;hyves-mail;ilohamail;imap;kaixin-mail;korea-webmail;lotus-notes-base;lotus-notes-admin;lotuslive-inotes;mail.com;mail.ru-mail;meetup-email;myspace-mail;nate-mail;naver-mail;netease-mail;newton-mail;ning-mail;noteworthy-base;open-webmail;optimum-webmail;outblaze-mail;paran-mail;protonmail;qq-mail;renren-mail;roundcube;secureserver-mail;send-to-phone;sendgrid;seven-email;squirrelmail;startmail;t-online-mail;telenet-webmail;tiscali-mail;touchdown;twig;vkontakte-mail;verizon-wsync;web-de-mail;x.400;yahoo-mail-base;yahoo-mail-downloading;yahoo-mail-posting;yahoo-mail-uploading;yandex-mail;zenbe;zimbra;zoho-mail","",""
"P2P","Mobile_User_Device_Group","10","ants-p2p;blin;generic-p2p;share-p2p;tudou-speedup;tvants;unknown-p2p;warez-p2p;winmx;xunlei-kankan","",""
